Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts h2o2 Replicate 1	Raw Counts h2o2 Replicate 2	Normalized Counts h2o2 Replicate 1	Normalized Counts h2o2 Replicate 2	RPKM h2o2	Expression h2o2	Raw Counts expon Replicate 1	Raw Counts expon Replicate 2	Normalized Counts expon Replicate 1	Normalized Counts expon Replicate 2	RPKM expon	Expression expon	Raw Counts stat Replicate 1	Raw Counts stat Replicate 2	Raw Counts stat Replicate 3	Normalized Counts stat Replicate 1	Normalized Counts stat Replicate 2	Normalized Counts stat Replicate 3	RPKM stat	Expression stat	pValue h2o2 vs expon	qValue h2o2 vs expon	pValue h2o2 vs stat	qValue h2o2 vs stat	pValue expon vs stat	qValue expon vs stat
11946	11946	11767	11530	-	SSO5027	SSO5027	hypothetical protein	935	656	25970	25983	112	144	385	348	8492	10451	56	52	3408	4061	3235	210967	195010	218286	478	1156	1.782553144617563E-22	1.1560599873321819E-20	2.663431432764466E-36	1.635357406350253E-35	0.0	0.0
12050	12050	12673	12677	+	SSO0013	SSO0013	hypothetical protein	2482	620	68908	24545	63	74	2567	2323	56612	69594	108	101	298	534	280	18481	25640	18930	14	33	0.5829625381187223	1.0	5.710519289800356E-13	2.445233363019052E-12	6.93476658306035E-23	2.3593364342149586E-22
	13030	12647	12647	-	SSO0014	SSO0014	hypothetical protein	5824	2262	161690	89495	268	327	2692	2316	59372	69363	180	167	538	691	564	33346	33179	38095	37	90	3.80230356035118E-7	5.690659126621741E-6	3.2961468568120678E-31	1.925122920310688E-30	2.562145809568895E-5	5.860367307265224E-5
13880	13880	13020		-	SSO0015	SSO0015	hypothetical protein	19930	6972	553242	275749	398	481	9251	8123	203973	243278	279	259	805	1017	975	49863	48850	65829	26	63	8.352385243953021E-5	7.85527953608029E-4	3.1936808213829714E-188	3.7096747749870114E-187	8.283098353282806E-43	3.433460076400716E-42
15314	15314	13920	13920	-	SSO0016	SSO0016	Transcription regulator (exsB) related protein	8986	5871	249442	232232	135	172	12370	8465	272750	253520	207	188	673	745	641	41696	35802	43291	11	28	0.15495329599763677	0.5082925294421953	1.0088753572047477E-98	9.050803997055848E-98	3.820062210951163E-120	2.2868949351328792E-119
15555	15555	15337	15315	-	NA	NA	Novel protein	5717	2243	158707	88716	463	564	2674	2357	58969	70619	318	295	219	245	260	13562	11776	17598	26	65	7.838328155134969E-7	1.104104775879419E-5	0.0	0.0	6.219257654432285E-69	3.0731030282932864E-68
15589	15589	17808		+	SSO0017	SSO0017	ATP-dependent helicase	2427	1561	67396	61743	22	29	1720	1348	37934	40395	19	17	317	436	341	19648	20950	23063	3	9	3.0176570515024295E-6	1.0	6.042306579200781E-26	1.0	4.8611970940573145E-6	1.0
	17801	19660		+	SSO0018	SSO0018	hypothetical protein	2455	2769	68163	109521	35	47	5165	3401	113883	101859	63	57	776	929	696	48065	44626	47023	10	25	0.3285134061537412	0.8978597307783989	2.4674515303995984E-8	1.0	1.517920152045795E-10	4.059523568143093E-10
20195	20195	19647	19647	-	SSO0019	SSO0019	Molybdenum cofactor biosynthesis protein B	6790	2059	188501	81457	205	245	4159	3483	91705	104317	192	178	321	424	255	19894	20362	17263	14	34	0.0023828541008179744	0.01535781535371916	1.9022221508221852E-191	2.2178342904529823E-190	5.0040721870511416E-88	2.7138809613746E-87
21008	21008	20199	20199	-	SSO0020	SSO0020	hypothetical protein	353	257	9802	10198	9	12	360	290	7949	8709	11	10	395	600	389	24499	28837	26294	13	32	0.0015672406727275615	1.0	0.021551323881424642	1.0	3.468290851944115E-26	1.0
	21513	22064		+	SSO0021	SSO0021	Oxidoreductase, soxB-like, putative (soxB-like)	897	243	24900	9642	26	31	1323	1020	29191	30574	58	54	63	88	64	3931	4245	4349	3	7	0.6700617886263266	1.0	3.657512160514647E-36	1.0	4.226187144147773E-126	1.0
22492	22492	22052	22052	-	SSO0022	SSO0022	hypothetical protein	3060	892	84943	35318	114	136	1879	1641	41443	49159	110	102	188	253	186	11665	12190	12610	11	27	0.0014745559519350588	0.010110776824611978	2.596887179327728E-84	2.1386533833987347E-83	6.771956031231255E-41	2.7342541018447343E-40
22547	22598	23215	23215	+	SSO0023	SSO0023	hypothetical protein	5306	2771	147290	109617	166	207	6138	4805	135337	143931	245	225	2501	3521	2147	154868	169078	144861	106	252	0.13037570251161498	0.44163173222922464	0.2783021259385144	0.6214881765040139	0.5604093759755492	1.0
23842	23842	23195	23195	-	SSO0024	SSO0024	hypothetical protein	2057	559	57113	22116	51	61	1856	1733	40930	51925	76	71	32	41	54	2018	2002	3703	1	3	0.26470331625453264	0.7615724801297229	0.0	1.0	0.0	0.0
23895	23895	24512	24512	+	SSO0025	SSO0025	hypothetical protein	752	271	20894	10718	21	25	515	393	11357	11785	20	18	151	194	134	9363	9315	9079	6	14	1.0800493858186222E-4	1.0	1.5225625329647585E-7	1.0	0.12384351250168252	1.0
24520	24520	25713		+	SSO0026	SSO0026	phosphoribosylglycinamide formyltransferase 2	5286	3562	146758	140902	94	120	13626	7581	300436	227042	246	220	397	518	379	24574	24915	25572	8	20	0.6072025780946684	1.0	2.2386767643123113E-107	2.080298736508724E-106	0.0	0.0
26757	26757	25702	25686	-	SSO0028	SSO0028	Acetylpolyamine aminohydrolase	2786	1771	77360	70073	54	69	3324	2870	73295	85972	81	75	939	1175	920	58141	56448	62083	23	55	0.13825416869250784	0.4632779624755403	0.0013831899941707017	1.0	0.02562747632868295	0.05197285590305539
26805	26805	27947		+	SSO0029	SSO0029	hypothetical protein	3248	2891	90168	114346	68	89	5980	3503	131848	104914	115	103	1269	1585	1176	78572	76115	79343	28	68	0.2192018192808053	0.651743327049806	8.388919341342687E-4	0.0024135587716820504	0.0037115708836011367	0.007833301803830737
	27944	28660	28660	+	SSO0031	SSO0031	hypothetical protein	2000	1808	55537	71538	67	88	2073	1210	45721	36262	63	57	664	775	508	41134	37243	34300	21	52	2.473936281464023E-5	2.685886281792914E-4	4.3162315647519535E-6	1.4128736972736942E-5	0.6541814695636047	1.0
29461	29461	28655		-	SSO0032	SSO0032	hypothetical protein	5575	1564	154767	61878	112	134	4635	3666	102200	109807	142	131	203	245	194	12581	11796	13154	6	15	0.06302036888996372	0.24310087776264816	3.651653E-317	5.14370855E-316	1.978256187904149E-299	1.6206082928804254E-298
30088	30088	29591	29591	-	SSO0033	SSO0033	hypothetical protein	98	59	2732	2342	4	5	30	41	662	1243	1	1	618	886	572	38260	42581	38651	33	79	7.875112635720855E-15	1.0	4.5333018457967196E-268	6.030841301694525E-267	0.0	0.0
30202	30202	30864		+	SSO0034	SSO0034	SOJ protein (soj)	706	1214	19613	48047	36	51	5032	3603	110967	107914	180	165	76	108	61	4744	5220	4137	2	7	2.5134473387553117E-4	0.0021261852080286105	2.299574595520708E-142	1.0	0.0	0.0
	30861	31190	31190	+	SSO0035	SSO0035	hypothetical protein	236	468	6558	18526	27	38	1642	882	36211	26432	106	94	35	47	29	2200	2258	1967	2	6	0.022777323170088726	0.10351212704888497	1.363591199339298E-75	1.0	0.0	0.0
	31267	31734		+	SSO0036	SSO0036	hypothetical protein	1432	921	39764	36440	63	81	1223	922	26975	27634	63	58	92	118	90	5718	5675	6076	5	12	2.5325284618792255E-4	0.002136520623802176	4.626898387270593E-125	4.63136163330333E-124	4.425119349189536E-54	1.9964342802937717E-53
32118	32275	34002	34002	+	SSO0037	SSO0037	hypothetical protein	4499	3483	124894	137760	58	75	7371	4515	162532	135235	95	86	11449	21239	7805	708706	1019757	526569	188	434	0.17615418190652535	0.5551238311513376	6.571214338659338E-11	2.619230504000835E-10	6.779855886973824E-46	2.907120024263018E-45
34003	34256	34702	34926	+	SSO0038	SSO0038	hypothetical protein	1176	983	32656	38880	61	80	1319	961	29086	28804	70	64	1075	1935	970	66564	92929	65462	71	167	0.002938238554426848	0.018478255797839956	0.24757984418033777	0.555968856990882	8.225196896927674E-13	2.3512431533641732E-12
35257	35257	34685	34685	-	SSO0039	SSO0039	hypothetical protein	3184	1252	88402	49519	98	120	1542	1416	34002	42408	71	66	417	542	519	25835	26031	35046	20	50	1.175693720035773E-7	1.957184251588963E-6	6.846238408986742E-14	2.955941770759463E-13	0.07144575388452377	0.14094463361376586
35325	35370	35828		+	SSO0040	SSO0040	First ORF in transposon ISC1078	3769	2526	104633	99911	174	222	1354	1133	29865	33956	75	69	939	1526	901	58183	73267	60824	59	139	5.388681131546562E-25	4.193741090626112E-23	8.946341700583725E-6	2.8770621605286298E-5	1.5028283644579134E-6	3.584907814986578E-6
	35789	36382	36383	+	SSO0041	SSO0041	Second ORF in transposon ISC1078	1987	1162	55170	45973	67	85	1225	893	27020	26757	49	45	876	1801	936	54260	86498	63200	49	114	3.470792661927816E-8	6.245420552937163E-7	0.3953563223326336	0.845872324001023	1.017001529219033E-12	2.8912564022455246E-12
37320	37320	36667	36667	-	SSO0042	SSO0042	Second ORF in transposon ISC1234	394	328	10956	12975	14	18	380	592	8395	17731	20	19	339	696	424	21039	33438	28609	17	42	0.09940174718815517	1.0	0.07731875010698888	1.0	2.0237107942608676E-8	1.0
	37811	37479		-	SSO0043	SSO0043	First ORF in transposon ISC1234	92	33	2566	1308	4	5	48	75	1060	2251	5	4	23	49	26	1460	2366	1760	2	5	0.016755459301762712	1.0	0.19740199092336125	1.0	0.2388312432081561	1.0
38481	38481	40262	40263	+	SSO0044	SSO0044	Heme bearing subunit I of the terminal oxidase	10243	9061	284339	358396	137	180	25697	19511	566573	584345	351	322	8933	9438	8218	552976	453161	554458	120	291	0.8875502695961991	1.0	0.8371072072929756	1.0	0.6695766121819794	1.0
40264	40264	41331		+	SSO0045	SSO0045	Terminal oxidase, subunit (doxC)	4460	4873	123829	192735	110	148	14747	10350	325158	309978	325	297	6068	6352	5364	375635	304989	361895	133	325	0.437182399788322	1.0	0.13062979761250618	0.30923996955721045	0.3463897294277512	0.6503686536239985
	41328	41528	41530	+	SSO5098	SSO5098	Terminal oxidase, small hydrophobic subunit	546	560	15161	22156	69	92	1678	1211	37014	36269	199	182	691	752	667	42791	36128	45027	84	205	0.40102176411104656	1.0	0.1332491140885499	0.3147226799375234	0.3427257501073933	0.6438776463997076
41624	41625	41816	41865	+	NA	NA	Novel protein	1049	561	29130	22203	106	133	550	522	12135	15646	77	72	26943	33044	19645	1667813	1586565	1325426	3338	7951	2.98385818587454E-8	5.432017855337686E-7	0.0	0.0	0.0	0.0
42567	42533	41790	41631	-	SSO0046	SSO0046	hypothetical protein	5152	4781	143023	189107	169	223	3995	4029	88089	120692	149	140	14072	26486	15030	871061	1271693	1014026	601	1414	2.5458498035347963E-4	0.002141954172541573	2.5678973116352243E-11	1.0435854218172916E-10	6.714483604146808E-230	4.988588892531984E-229
41866			42053	+	-	predicted RNA	antisense: SSO0046	157	102	4371	4048	17	22	56	45	1245	1367	7	6	4984	8629	3555	308526	414342	239894	735	1707	3.2536416195785022E-24	1.0	0.0	0.0	0.0	0.0
42748	42729	42568	42568	-	NA	NA	Novel protein	33783	17423	937781	689113	4023	5021	19006	19005	419069	569186	3253	3050	30299	40143	27629	1875550	1927406	1864024	4872	11660	0.008833592257996323	0.045080283113348454	0.9274409886728124	1.0	4.911535184882361E-12	1.3663636309686138E-11
42957	42978	43367	43367	+	SSO0048	SSO0048	Transcriptional regulator, putative	80592	42424	2237139	1677914	4014	5019	61709	57437	1360571	1720199	4235	3949	203344	251577	181407	12586900	12078877	12238768	13130	31542	0.1994758967784036	0.612394937545533	3.5558778549031817E-4	0.0010492367547216687	3.481684272257525E-32	1.291833508884109E-31
43368	43434	43829	43829	+	SSO0049	SSO0049	hypothetical protein	3300	2305	91605	91189	180	230	2252	2046	49656	61289	150	140	2648	3408	2218	163920	163654	149697	168	401	2.8942086933093613E-5	3.0541259872108613E-4	0.7969419243657716	1.0	2.2704196204641262E-14	6.71207623789632E-14
43830	43863	44612	45136	+	SSO0050	SSO0050	Enoyl CoA hydratase (paaF-1)	4649	2495	129071	98695	121	151	5074	4792	111877	143539	182	170	2814	3823	2656	174189	183572	179251	99	238	0.1650359468540301	0.5320719012816898	0.8896550285750673	1.0	0.07051185020945308	0.13945577490598948
	45619	44609	44494	-	SSO0051	SSO0051	hypothetical protein	1170	877	32500	34706	25	33	1422	1061	31367	31780	34	31	1396	1724	1624	86472	82805	109589	37	91	0.02238084640721444	1.0	0.009548029716379716	0.025296184261353237	3.764567875044712E-18	1.1970479872333184E-17
46343	46343	45603		-	SSO0053	SSO0053	ABC transporter, ATP binding protein	525	416	14589	16474	16	20	634	437	13981	13105	20	18	899	995	867	55678	47774	58499	29	72	0.005986817917758305	1.0	3.497096965448019E-5	1.0952175908893041E-4	1.1370426394829348E-42	4.6944479266715863E-42
46297	46297	47328		+	SSO0052	SSO0052	Hydrogenase expression/formation protein (hypE)	581	304	16130	12051	10	13	528	451	11655	13530	13	12	389	575	427	24109	27609	28858	10	26	0.007852245230417316	1.0	0.43369500734068267	1.0	1.1281155260705348E-8	1.0
	47249	47788		+	SSO0054	SSO0054	hypothetical protein	285	164	7936	6506	10	13	401	366	8848	10975	19	18	198	273	221	12269	13111	14966	10	24	0.3622413347500883	1.0	0.6274493316707009	1.0	0.024902555856650556	1.0
	47785	48516	48539	+	SSO0055	SSO0055	hypothetical protein	2288	1194	63531	47262	60	75	2032	1608	44811	48177	68	63	1002	1534	1216	62078	73680	82044	41	99	0.00849689189164197	0.04357631706537307	0.3500778871269267	0.7631599878334194	0.012316931731061936	0.025527702049797478
48833	48833	49279	49279	+	SSO0057	SSO0057	hypothetical protein	2505	1121	69561	44372	103	127	1125	947	24816	28391	64	59	293	448	272	18156	21536	18353	18	43	6.515695551590114E-11	1.913524552084908E-9	2.512436974758962E-25	1.3484855693835602E-24	0.01569984515643624	0.03221728277652341
50175			49872	-	-	predicted RNA	-	637522	261062	17696795	10325238	37648	46088	415022	496352	9150498	14865202	41563	39499	350474	398583	358819	21694140	19137045	24208014	29321	71314	0.4576053383795952	1.0	0.8329228809609763	1.0	0.583628207198217	1.0
	51206	50238	50238	-	SSO0060	SSO0060	UDP-N-acetylglucosamine--dolichyl-phosphate	2313	1345	64216	53217	48	60	4421	3070	97495	91955	107	97	379	482	387	23464	23162	26117	10	25	0.830912673601689	1.0	4.980174660270884E-15	1.0	9.218971559544497E-42	3.771177196433905E-41
52205	52205	51207		-	SSO0061	SSO0061	Geranylgeranyl pyrophosphate synthetase (gdS-1)	3303	1514	91712	59901	61	75	7351	5451	162084	163278	177	162	215	296	250	13345	14229	16919	6	14	0.2527331734988822	0.7331748198364193	5.079625718955004E-95	4.492293995200832E-94	0.0	0.0
	53313	52207	52207	-	SSO0063	SSO0063	isopentenyl pyrophosphate isomerase	1820	811	50532	32101	30	37	1302	1124	28728	33684	30	28	114	143	133	7093	6895	8992	2	6	8.763221644986204E-4	1.0	6.435276397899522E-91	1.0	2.2962286243045183E-44	1.0
	54031	53306		-	SSO0064	SSO0064	hypothetical protein	255	144	7088	5703	7	8	214	145	4722	4370	6	6	57	58	50	3545	2806	3439	1	4	2.769362463396911E-4	1.0	3.1022978478310565E-6	1.0	0.17798837794855182	1.0
	54699	53977		-	SSO0065	SSO0065	hypothetical protein	456	285	12666	11303	13	16	612	338	13496	10148	18	16	71	121	64	4425	5812	4373	2	6	0.025430299660404377	1.0	1.9413404985647134E-12	1.0	2.193327419675763E-9	1.0
	55480	54626		-	SSO0066	SSO0066	hypothetical protein	3381	2451	93867	96946	86	111	5715	3474	126010	104070	149	134	578	762	528	35812	36605	35683	17	42	0.2977728910185169	0.8321068310059633	9.208394020353111E-16	4.1245655518502495E-15	1.098146790844902E-21	3.68773566332274E-21
	56172	55477		-	SSO0067	SSO0067	30S ribosomal protein S2	9025	7399	250525	292665	299	390	16158	10324	356268	309218	527	478	1791	2199	1596	110870	105591	107735	64	155	0.29433960842449963	0.8258604112218745	1.041334945151337E-11	4.2597577979712385E-11	4.8314815894761813E-17	1.495069800003912E-16
56375	56369	56169		-	SSO5140	SSO5140	DNA-directed RNA polymerase subunit N	830	676	23053	26753	95	123	1346	720	29680	21590	142	127	168	169	106	10411	8143	7211	17	42	0.043692780377406634	0.17991484830008841	2.553223371388968E-23	1.3335879790493048E-22	7.623794178195174E-22	2.562945062280948E-21
	56798	56376		-	SSO0068	SSO0068	30S ribosomal protein S9P	1269	828	35234	32752	63	80	1469	660	32399	19786	69	61	217	242	159	13471	11641	10760	11	28	6.204908426727421E-4	0.004722709029927252	1.884865170672007E-23	9.861487859331021E-23	3.572381462671713E-10	9.480667939724673E-10
	57235	56786		-	SSO0069	SSO0069	50S ribosomal protein L13P	1532	1129	42532	44680	75	96	1808	1009	39875	30238	86	77	280	317	204	17334	15247	13829	14	34	0.001413935544859014	0.009781291891435801	5.379854980510246E-24	2.843376664571884E-23	7.594551882092405E-12	2.0959078022122033E-11
	57591	57232		-	SSO0070	SSO0070	50S ribosomal protein L18e	5940	3193	164904	126301	322	404	5583	3956	123109	118497	367	335	479	594	475	29663	28552	32107	34	83	0.011190543342307539	0.0554715946251646	3.7223940524709996E-65	2.8332060355359955E-64	1.7156618589283974E-40	6.864852656611955E-40
58391	58385	57588		-	SSO0071	SSO0071	DNA-directed RNA polymerase, subunit D (rpoD)	6812	4571	189112	180812	181	231	10768	6127	237425	183517	293	263	425	465	361	26347	22344	24369	12	30	0.15532231805776217	0.5089667116987512	2.2538029452029315E-207	2.708914505180203E-206	3.730111266049686E-278	2.9546657433111126E-277
	58795	58397	58396	-	SSO0072	SSO0072	30S ribosomal protein S11P	10943	6710	303790	265396	562	713	17725	11761	390825	352240	1024	931	440	503	384	27275	24188	25923	26	64	0.45885004777248495	1.0	0.0	0.0	0.0	0.0
59324	59324	58779		-	SSO0073	SSO0073	30S ribosomal protein S4	11388	8883	316117	351334	472	611	27656	16775	609767	502418	1128	1018	869	986	720	53814	47386	48637	37	91	0.8749542298655106	1.0	3.9899991552444325E-144	4.224784819821741E-143	0.0	0.0
59832	59832	59335	59331	-	SSO0074	SSO0074	30S ribosomal protein S13P	12226	5723	339388	226375	458	568	20905	13480	460929	403723	957	868	615	641	493	38102	30813	33298	28	68	0.8457197073442788	1.0	4.939978739495172E-218	6.007091334393934E-217	0.0	0.0
61130	61130	59853		-	SSO0076	SSO0076	hypothetical protein	1978	1072	54916	42406	30	38	2712	1716	59815	51406	48	43	335	464	305	20745	22289	20597	6	16	0.2106785354707877	1.0	7.328423758262349E-14	1.0	2.9257437567864574E-16	1.0
61335	61335	61688		+	SSO0077	SSO0077	hypothetical protein	3427	1240	95142	49061	168	203	2366	2051	52185	61426	173	160	88	129	94	5507	6239	6344	7	17	0.0033888470539184387	0.02102173592597271	0.0	0.0	6.799471702689228E-289	5.483615391313877E-288
61719	61719	62819	62819	+	SSO0078	SSO0078	tyrosyl-tRNA synthetase	2429	1367	67441	54090	43	55	1759	1269	38794	38033	38	34	517	596	466	32006	28642	31488	11	27	8.70840388491078E-6	1.0	7.818709039836612E-9	1.0	0.1813514010949412	1.0
62820	62827	64047	64067	+	SSO0079	SSO0079	DNA primase	4350	4981	120756	197020	97	130	4063	2443	89603	73165	73	66	2812	4243	2252	174109	203721	151989	61	144	1.1378386351607086E-6	1.5467649219455396E-5	0.13209154354226568	0.31246274699625615	2.029638548510119E-6	4.808420701302892E-6
66328	66328	64034	64034	-	SSO0081	SSO0081	DNA polymerase III (DNA polymerase B3) (pfu	3086	2101	85671	83106	28	36	3662	2831	80745	84813	39	36	4432	6406	3674	274344	307608	247920	50	120	0.05911190304514138	1.0	0.0025778986530184908	0.007114360378410072	3.751802036537985E-18	1.1942085623458842E-17
66835	66835	66380	66380	-	SSO0082	SSO0082	N-terminal acetyltransferase complex ard1	635	263	17644	10437	25	30	374	299	8254	8984	20	18	98	151	113	6076	7262	7628	6	15	8.946174047820459E-7	1.0	3.776496594478842E-9	1.0	0.27623095835721656	1.0
66854	66854	67888	67888	+	SSO0083	SSO0083	Cell division protein pelota homolog (pelA)	1328	1038	36877	41085	29	37	1740	1206	38368	36130	39	35	618	850	580	38282	40830	39150	15	38	0.01962061823977981	1.0	0.0610461748780423	1.0	0.5811994591366871	1.0
	68911	67859	67859	-	SSO0084	SSO0084	hypothetical protein	3907	2742	108471	108477	80	103	9967	7653	219768	229211	232	213	1115	1443	995	69020	69317	67165	27	65	0.34930144964287796	0.9422663888546612	1.0189871180673642E-5	3.2735881305920586E-5	3.410926551835463E-24	1.1745812340557297E-23
	69437	68859		-	SSO0085	SSO0085	hypothetical protein	512	323	14229	12798	18	23	897	671	19797	20103	37	34	95	152	78	5925	7341	5278	4	10	0.6014459748073834	1.0	2.926168876597489E-10	1.0	4.4330225796453785E-21	1.0
	69993	69430		-	SSO0086	SSO0086	hypothetical protein	668	290	18567	11477	21	26	908	680	20033	20380	39	35	266	348	200	16517	16708	13507	11	27	0.3393272454530514	1.0	0.03253698141131721	1.0	0.07044193206559715	1.0
70054	70054	71214	71321	+	SSO0087	SSO0087	hypothetical protein	2731	2108	75813	83383	52	68	3714	2640	81897	79080	75	69	1652	2264	1897	102301	108723	128028	40	97	0.07791347827378609	0.28945348732029036	0.5962988350679485	1.0	0.07494263589851717	0.14756257150669447
72863	72673	71195	71119	-	SSO0090	SSO0090	Lysyl-tRNA synthetase (lysS)	8052	5811	223528	229846	119	153	17710	10988	390476	329103	269	243	4022	6363	3655	249010	305504	246617	76	180	0.9247681823095415	1.0	0.11504692822626376	0.27415593972267344	0.02099080998231824	0.0428207021461053
73672			73658	-	-	predicted RNA	-	701	247	19484	9793	806	975	510	517	11256	15508	950	892	8	12	9	556	594	609	16	39	0.012090506980608977	0.05955339909910719	0.0	0.0	0.0	0.0
74101	74100	73708	73673	-	SSO0091	SSO0091	50S ribosomal protein L7Ae	63189	22571	1754061	892712	2780	3367	45800	48797	1009821	1461443	3337	3144	849	1142	902	52564	54831	60897	59	142	0.3019303671649047	0.8399546318001325	0.0	0.0	0.0	0.0
	76041	74314	74314	-	SSO0093	SSO0093	glutamyl-tRNA synthetase	4005	3329	111177	131667	53	70	6739	3900	148583	116829	85	76	732	985	691	45345	47332	46675	11	26	0.13613705819244784	0.45716792033774556	4.151082789522964E-16	1.0	1.764662951179568E-17	5.5099255436529546E-17
	76711	76025		-	SSO0094	SSO0094	hypothetical protein	1718	992	47697	39243	50	63	2009	1322	44305	39596	67	61	399	634	413	24734	30451	27905	16	40	0.031041476138838335	0.13514981149678845	6.549766389762409E-6	1.0	0.003118194878639628	0.006598871962749941
77907	77907	76708		-	SSO0095	SSO0095	hypothetical protein	5791	3653	160772	144485	100	127	5242	3713	115596	111228	103	94	648	1108	665	40129	53228	44930	16	38	0.0034887616547855495	0.021591481175640984	8.804040734508901E-27	4.833682329193335E-26	3.896855949978888E-12	1.0860261926843579E-11
79423	79423	78293	77945	-	SSO0097	SSO0097	hypothetical protein	16886	20982	468734	829871	425	574	58410	35589	1287854	1065851	1152	1040	26325	29510	25264	1629559	1416879	1704503	576	1400	0.8654065121823773	1.0	0.8757410657842879	1.0	0.9493104675301353	1.0
80372	80372	79467	79467	-	SSO0098	SSO0098	methionine aminopeptidase	6624	3165	183892	125199	137	170	7966	6654	175641	199280	223	206	774	938	882	47948	45078	59567	23	56	0.2742759221487334	0.7811719539332179	1.6560243008265633E-23	8.693429424069294E-23	1.5516168687050183E-34	5.868995519172201E-34
80426	80426	81109		+	SSO0099	SSO0099	hypothetical protein	20728	13695	575396	541686	640	816	36342	26697	801283	799560	1277	1170	4032	4201	3721	249589	201717	251099	140	342	0.35244517060021935	0.9482816042164934	1.4864114251338309E-9	5.595161749022509E-9	3.620670230133072E-20	1.187686662424052E-19
