operon_id	chromosome	TSS_start	TSS_end	score	strand	RNAP1_promoter	RNAP1_body	spt45_r1_promoter	spt45_r1_body	elf1_r1_promoter	elf1_r1_body	cpsf1_r1_promoter	cpsf1_r1_body	RNAP2_promoter	RNAP2_body	spt45_r2_promoter	spt45_r2_body	elf1_r2_promoter	elf1_r2_body	cpsf1_r2_promoter	cpsf1_r2_body	EI_RNAP1	EI_RNAP2	EI_spt45_r1	EI_spt45_r2	EI_elf1_r1	EI_elf1_r2	EI_RNAPmean	EI_Spt45mean	EI_Elf1mean	EI_RNAPsd	EI_Spt45sd	EI_Elf1sd	TFB1_peakStart	TFB1_foldR1	TFB1_foldR2	TFEb_peakStart	TFEb_foldR1	TFEb_foldR2	first.cistron	Translation_Start	Translation_Stop	Transcription_Stop	Strand	Name	Synonym	Product	Expression.expon	Expression.stat	Expression.oxid	Expression.mock	qValue.expon.vs.stat	qValue.expon.vs.oxid	qValue.expon.vs.mock	qValue.stat.vs.oxid	qValue.stat.vs.mock	qValue.oxid.vs.mock	foldchange_ExpStat	foldchange_ExpOxid	foldchange_OxidMock	UTR	Name	Synonym	Product	Raw.Counts.h2o2.Replicate.1	Raw.Counts.h2o2.Replicate.2	Normalized.Counts.h2o2.Replicate.1	Normalized.Counts.h2o2.Replicate.2	RPKM.h2o2	Expression.h2o2	Raw.Counts.expon.Replicate.1	Raw.Counts.expon.Replicate.2	Normalized.Counts.expon.Replicate.1	Normalized.Counts.expon.Replicate.2	RPKM.expon	Expression.expon	Raw.Counts.stat.Replicate.1	Raw.Counts.stat.Replicate.2	Raw.Counts.stat.Replicate.3	Normalized.Counts.stat.Replicate.1	Normalized.Counts.stat.Replicate.2	Normalized.Counts.stat.Replicate.3	RPKM.stat	Expression.stat	pValue.h2o2.vs.expon	qValue.h2o2.vs.expon	pValue.h2o2.vs.stat	qValue.h2o2.vs.stat	pValue.expon.vs.stat	qValue.expon.vs.stat
ID_317	gi|15896971|ref|NC_002754.1|	386729	386730	.	-	52.9695333333333	8.9789	48.6696666666667	13.1274	32.8408666666667	12.90484	28.3204	5.282388	55.3032666666667	9.271776	48.1252	13.84916	5.53802666666667	2.636792	36.8096666666667	6.205452	-2.56055218126492	-2.57644708311853	-1.89044168803108	-1.79699406187106	-1.34757994581113	-1.07058823005809	-2.56849963219173	-1.84371787495107	-1.20908408793461	0.0112393928869866	0.0660774501435325	0.195862720541472	386753	52.52145	52.60079	386754	14.11516	18.68877	386725	386723	385794	385645	-	tfb	SSO0446	transcription initiation factor IIB	217	1252	273	195	5.63e-55	0.044068301	1	0.000117	2.5e-21	0.74035342	-2.528467614	-0.331205908	0.485426827	7	SSO0446	SSO0446	transcription initiation factor IIB	7041	7795	195454	308311	202	270	8503	7083	187488	212142	232	214	17743	24471	17969	1098313	1174930	1212336	520	1249	0.00816747156519983	0.0424463088188098	3.95731589108896e-05	0.00012368598764016	2.46219036626792e-56	1.12717626620471e-55
ID_332	gi|15896971|ref|NC_002754.1|	398934	398935	.	-	12.3608266666667	2.4659	10.2408333333333	2.691388	5.60244666666667	2.779244	4.63346666666667	1.705136	11.7085066666667	2.252756	8.66566666666667	2.383784	1.90076	1.2925192	3.89042	1.8235636	-2.3255890307275	-2.3777941162141	-1.92791082228694	-1.86205722710515	-1.01136451027349	-0.556390669669547	-2.3516915734708	-1.89498402469605	-0.783877589971521	0.0369145699600026	0.0465655237185568	0.321715087953539	398945	9.1875	9.94356	398942	4.0443	5.39665	399098	398935	398312	398310	-	-	SSO0465	hypothetical protein	186	218	365	242	0.938644379	4.24e-05	0.191719567	0.000136	0.165506284	0.464886482	-0.229025514	-0.972593843	0.592889416	0	SSO0465	SSO0465	hypothetical protein	9141	4989	253745	197345	288	361	5044	3981	111218	119242	200	184	2056	2734	2207	127278	131296	148910	90	217	3.92060264607338e-06	4.86248447698264e-05	6.20802302394949e-05	0.000190964186497577	0.476716122705585	0.882293275851657
ID_369	gi|15896971|ref|NC_002754.1|	448982	448983	.	-	4.46510666666667	1.6805544	2.55452666666667	1.29525	1.24899333333333	0.9793196	2.15557333333333	1.4624036	4.97438	1.67676	2.87086666666667	1.2959468	1.062748	0.880346	2.81988666666667	1.8449	-1.40975739638383	-1.56884051515897	-0.979825412500745	-1.1474798329085	-0.350914112481902	-0.27165698511557	-1.4892989557714	-1.06365262270462	-0.311285548798736	0.112488752058207	0.118549577566221	0.0560432522180993	449016	8.55234	10.21131	449032	3.04449	4.21046	448982	448982	448668	448659	-	-	SSO0520	hypothetical protein	436	63	444	489	2.66e-172	0.222215026	0.5145959	1.17e-182	4.21e-230	1	2.790904401	-0.026231542	-0.139274789	1	SSO0520	SSO0520	hypothetical protein	7094	2007	196933	79403	368	438	5968	4690	131600	140474	469	431	360	426	245	22335	20492	16579	26	62	0.0544478554027878	0.216747025407773	2.38105117483362e-184	2.74526381750261e-183	3.26584210662007e-175	2.18166662616058e-174
ID_409	gi|15896971|ref|NC_002754.1|	509450	509451	.	-	4.34366	0.894218	3.78596	1.267384	2.45605333333333	1.170556	3.26454	1.159552	9.38948	1.752256	8.28638666666667	2.442448	1.548734	0.9851864	9.44374	2.306464	-2.28021268884773	-2.42183169771754	-1.57880546098374	-1.76241529481684	-1.06914793387811	-0.652620760521773	-2.35102219328264	-1.67061037790029	-0.860884347199939	0.100139761516762	0.129831758595916	0.294529188828727	509445	4.04248	5.66775	509446	2.1963	4.00476	509410	509320	507602	NA	-	ilvB-2	SSO0579	acetolactate synthase catalytic subunit	201	57	110	97	4.42e-25	1	0.377517874	5.22e-07	3.93e-05	1	1.818161677	0.869691978	0.181446871	131	SSO0579	SSO0579	acetolactate synthase catalytic subunit	6480	4942	179903	195470	84	109	17674	9900	389690	296501	222	199	1623	1855	1542	100505	89079	104061	23	56	0.640889203600058	1	3.06376985717027e-07	1.04692816304841e-06	1.7002410552431e-24	5.88094489441307e-24
ID_454	gi|15896971|ref|NC_002754.1|	574059	574060	.	+	31.4878	10.478744	27.5367333333333	14.35192	14.1050733333333	13.85184	23.4801333333333	6.778792	29.3493333333333	9.62488	25.6672333333333	13.79	2.94495333333333	2.631848	24.6892666666667	9.15628	-1.58732715893391	-1.60848727421061	-0.940113669980553	-0.89630533959158	-0.0261365381778211	-0.162168602900269	-1.59790721657226	-0.918209504786066	-0.0941525705390451	0.0149624610028408	0.0309771674905033	0.0961891954240503	574062	11.89008	10.95762	574059	9.83549	11.23851	574014	574064	574576	574864	+	NuoB	SSO0665	NADH dehydrogenase subunit B (NuoB)	1072	3558	1852	1173	2.84e-08	0.033941573	0.699820626	0.992520723	0.046002829	1	-1.730761605	-0.788779193	0.658881085	4	SSO0665	SSO0665	NADH dehydrogenase subunit B (NuoB)	41482	18335	1151488	725191	1484	1829	22344	19932	492646	596942	1142	1061	28596	35627	29364	1770075	1710583	1981099	1468	3548	0.00617296151427899	0.0340370928707042	0.483124573319788	1	8.70235759958808e-09	2.21870918980489e-08
ID_457	gi|15896971|ref|NC_002754.1|	577066	577067	.	+	27.9110666666667	12.61128	27.0461666666667	17.002	14.38166	14.96608	12.0157066666667	7.313052	13.2121066666667	7.068188	12.3164	8.833432	1.96148	1.617852	6.98136	5.288548	-1.14612254888212	-0.902448203858427	-0.669719665890744	-0.479534654199461	0.0574661839098429	-0.277862988176272	-1.02428537637027	-0.574627160045102	-0.110198402133215	0.172303781767443	0.134481111446949	0.237113531511763	577049	4.15107	3.30295	577036	2.64977	2.96112	577067	577067	577486	NA	+	-	SSO0670	hypothetical protein	76	182	96	96	2.54e-09	0.019896834	0.098992062	1	0.405258473	1	-1.259867127	-0.337034987	0	0	SSO0670	SSO0670	hypothetical protein	1610	890	44717	35202	75	95	1385	1110	30552	33258	82	75	1179	1541	1218	73036	74034	82173	75	181	0.0021242667819677	0.0139511444984503	0.454159868716808	0.963735290603561	1.22029642904629e-10	3.2691762337531e-10
ID_480	gi|15896971|ref|NC_002754.1|	622840	622841	.	-	7.95686666666667	2.314392	6.39971333333333	2.69194	3.38384666666667	2.60836	3.23339333333333	1.05332	8.41731333333333	2.07528	7.16620666666667	2.644784	1.494766	1.273188	4.16116666666667	1.314232	-1.78156718241128	-2.02005382221386	-1.24936102852446	-1.43805974813921	-0.375521195787574	-0.231474189092718	-1.90081050231257	-1.34371038833183	-0.303497692440146	0.1686355202268	0.133430144240804	0.101856615243557	622831	4.20628	4.28257	622815	2.32786	2.50997	622802	622795	620585	620585	-	EF-2	SSO0728	elongation factor EF-2	711	296	476	533	0.000199	1	1	0.039647162	0.009933061	1	1.264252384	0.578887986	-0.163173959	46	SSO0728	SSO0728	elongation factor EF-2	34961	28132	970497	1112663	362	471	84607	41835	1865439	1252922	792	705	11162	12408	9995	690979	595759	674323	122	295	0.495556840073347	1	0.0123835260891832	0.0326417584382956	5.40449737292474e-05	0.000122180104008095
ID_501	gi|15896971|ref|NC_002754.1|	644687	644688	.	+	36.0020666666667	2.640992	28.4702666666667	3.031428	12.8073466666667	2.9663	35.5458	1.883024	33.8690666666667	2.39598	23.1441333333333	2.842552	2.41942666666667	1.306092	32.6586	2.219668	-3.76892788909651	-3.82128046022557	-3.23138654389721	-3.02538789346996	-2.11023520069777	-0.889408688821358	-3.79510417466104	-3.12838721868358	-1.49982194475956	0.0370188580579091	0.145663042632386	0.863254705200127	644692	15.89158	19.01205	644689	7.45533	8.80171	644710	644710	646629	646664	+	-	SSO0761	mRNA 3'-end processing factor	84	377	241	76	3.73e-33	2.94e-11	1	1	4.29e-15	0.000168	-2.16610329	-1.520571913	1.664961823	22	SSO0761	SSO0761	mRNA 3'-end processing factor, putative	9542	16562	264897	655075	172	239	8275	4642	182466	139050	93	83	10732	16058	10836	664327	771009	731060	157	376	7.60015889676009e-13	2.49045206795939e-11	0.466092338066663	0.987709631314855	3.32687910084384e-34	1.25230648620639e-33
ID_587	gi|15896971|ref|NC_002754.1|	749378	749379	.	-	4.38935333333333	1.827542	3.54858666666667	1.5103212	1.60839	1.2978352	1.98352666666667	1.2655548	5.26590666666667	1.996608	4.17808666666667	2.055592	1.12705933333333	1.140826	2.37936	1.663776	-1.26410384653826	-1.39913083920701	-1.232389141397	-1.02328847619793	-0.309510070904604	0.0175152997298155	-1.33161734287264	-1.12783880879747	-0.145997385587394	0.0954785021592957	0.14785649831288	0.231241857195642	749375	5.09557	4.47008	749371	2.29595	2.64425	749341	749340	748150	NA	-	thrC-2	SSO0878	threonine synthase	193	37	145	161	8.89e-68	1	1	1.07e-35	1.48e-45	1	2.383003672	0.412547947	-0.151007788	39	SSO0878	SSO0878	Threonine synthase (thrC-2)	6896	3832	191440	151587	114	144	11047	7105	243571	212788	211	191	767	905	654	47509	43492	44135	15	37	0.430332929921855	1	3.6740756342288e-36	2.25145619081776e-35	3.99333090900509e-68	1.96386084040014e-67
ID_614	gi|15896971|ref|NC_002754.1|	786862	786863	.	+	46.5233333333333	20.68668	51.0882	31.3838	35.5429333333333	32.87564	14.6387866666667	7.61898	15.6296466666667	5.416428	15.9650133333333	7.683188	2.32366666666667	2.131368	7.78882666666667	3.522784	-1.16925234162861	-1.52887151560504	-0.702970059218623	-1.05513679726934	-0.112543770830999	-0.124623417901573	-1.34906192861682	-0.879053428243983	-0.118583594366286	0.254289156563442	0.24901948858401	0.00854160035794279	786880	9.05524	5.11906	786886	4.86061	3.26769	786861	786874	788313	NA	+	-	SSO0927	hypothetical protein	235	4072	646	210	0	1.37e-06	1	0.000161	1.56e-243	0.009144946	-4.1150049	-1.458873408	1.621144837	11	SSO0927	SSO0927	hypothetical protein	19451	32974	539949	1304173	461	640	17756	9345	391492	279883	260	233	94688	119841	87871	5861173	5753929	5928332	1690	4060	1.26992264442547e-07	2.06977444612382e-06	4.35621327576091e-05	0.000135473445828608	0	0
ID_630	gi|15896971|ref|NC_002754.1|	807596	807597	.	-	10.90054	4.885516	9.52514	6.403528	6.54921333333333	6.272708	4.28095333333333	2.093528	13.0537066666667	4.71452	10.9719066666667	5.964452	1.97163333333333	1.744516	6.14363333333333	2.474532	-1.15781675581472	-1.46927672738906	-0.572873325782759	-0.879352757307566	-0.0622332204943051	-0.176564447776659	-1.31354674160189	-0.726113041545163	-0.119398834135482	0.220235457968387	0.216713684325389	0.0808443861127325	807588	9.70955	13.14838	807595	3.38659	5.09147	807543	807533	806988	806880	-	tflD	SSO0951	transcription factor	792	434	426	633	8.35e-05	1	1	0.088358597	0.001621747	1	0.867805388	0.894647	-0.571352069	64	SSO0951	SSO0951	transcription factor	7424	6435	206098	254545	322	421	19249	14452	424414	432829	855	785	3950	4379	3780	244513	210249	255076	178	433	0.515274200067536	1	0.0427066628520325	0.107474406999496	6.92480106105673e-05	0.000156096348320562
ID_660	gi|15896971|ref|NC_002754.1|	851272	851273	.	+	36.6703333333333	12.264788	35.31158	14.54652	23.6138533333333	14.90652	15.35892	6.304564	26.06184	9.83066	23.3015933333333	12.98776	3.62931333333333	2.637656	14.5705466666667	8.400248	-1.58009108344927	-1.40657876066191	-1.27946732034701	-0.843275977393503	-0.663689988549198	-0.46044019364201	-1.49333492205559	-1.06137164887026	-0.562065091095604	0.122691740062371	0.308433856497294	0.143719308253647	851277	9.37263	10.03081	851282	5.36594	6.74419	851273	851273	852463	NA	+	-	SSO0992	hypothetical protein	3969	3114	4512	4296	0.225561614	1	1	0.213891705	0.177459219	1	0.350006618	-0.184991505	0.070773074	0	SSO0992	SSO0992	Transport conserved hypothetical protein	199473	128577	5537137	5085357	3503	4459	197755	167001	4360140	5001492	4246	3930	58161	67948	62771	3600149	3262365	4234941	1276	3105	0.998788216735013	1	0.0938325817345244	0.226786356319545	0.1325383149153	0.25786985895708
ID_668	gi|15896971|ref|NC_002754.1|	870047	870048	.	-	12.9670266666667	5.13608	10.8137	5.660412	5.37242	5.381256	8.91069333333333	3.607724	10.97126	4.429984	8.47302	5.073584	1.40972733333333	1.473004	4.77592	3.10886	-1.33610812890929	-1.30835582906355	-0.933881267684827	-0.739871041559507	0.00237084625762148	0.0633452016826533	-1.32223197898642	-0.836876154622167	0.0328580239701374	0.0196238394144442	0.13718594651275	0.0431153801995187	870052	7.47093	6.8188	870050	4.36363	4.36485	870048	870048	868399	NA	-	ilvB-3	SSO1012	pyruvate dehydrogenase	36	249	109	41	7.17e-122	6.73e-17	1	0.431730213	6.11e-30	0.000903	-2.790076931	-1.598259323	1.41063232	0	SSO1012	SSO1012	pyruvate dehydrogenase	5208	5375	144577	212609	81	108	2624	2031	57855	60839	39	35	6528	7758	6730	404087	372487	454058	102	248	8.80462908309275e-18	4.42077586059157e-16	0.169591981550701	0.393984954154725	7.23328305941085e-118	4.30539391280038e-117
ID_669	gi|15896971|ref|NC_002754.1|	871533	871534	.	+	55.1130666666667	10.714544	35.9517333333333	15.57008	10.8569733333333	9.015288	28.5215333333333	4.292296	55.1404	10.825296	34.4624	19.32812	1.6728	2.156352	20.9006933333333	5.342444	-2.36282395385347	-2.348703259372	-1.20728497160379	-0.834321859076707	-0.268176484572099	0.366327733871951	-2.35576360661273	-1.02080341534025	0.0490756246499259	0.00998483882291421	0.263724746000339	0.448662235553258	871534	34.94311	42.28698	871531	21.72136	26.56942	871672	NA	NA	873167	+	-	SSOr03	16SRNA	92784	222143	175889	109258	0.566287475	0.857382958	1	1	0.661830527	1	-1.259540732	-0.922717312	0.686926341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
