as.character(peaks$V1)	start	end	peak	peak_rep1	peak_rep2	fold_rep1	fold_rep2
gi|15896971|ref|NC_002754.1|	48487	48488	TFB1.expon.peak29	TFB1.expon_r1_peak_30a	TFB1.expon_r2_peak_33a	2.86273	3.03489
gi|15896971|ref|NC_002754.1|	48749	48750	TFB1.expon.peak30	TFB1.expon_r1_peak_30b	TFB1.expon_r2_peak_33b	9.16694	8.49424
gi|15896971|ref|NC_002754.1|	49344	49345	TFB1.expon.peak31	TFB1.expon_r1_peak_31	TFB1.expon_r2_peak_34	18.03748	20.59383
gi|15896971|ref|NC_002754.1|	49816	49817	TFB1.expon.peak32	TFB1.expon_r1_peak_32	TFB1.expon_r2_peak_35	8.47162	7.61341
gi|15896971|ref|NC_002754.1|	50198	50199	TFB1.expon.peak33	TFB1.expon_r1_peak_33	TFB1.expon_r2_peak_36	1.95574	1.85325
gi|15896971|ref|NC_002754.1|	51120	51121	TFB1.expon.peak34	TFB1.expon_r1_peak_34b	TFB1.expon_r2_peak_37	1.44169	1.41671
gi|15896971|ref|NC_002754.1|	52196	52197	TFB1.expon.peak35	TFB1.expon_r1_peak_35	TFB1.expon_r2_peak_38	3.17051	4.14548
gi|15896971|ref|NC_002754.1|	53395	53396	TFB1.expon.peak36	TFB1.expon_r1_peak_36	TFB1.expon_r2_peak_39	2.22814	2.37161
gi|15896971|ref|NC_002754.1|	55341	55342	TFB1.expon.peak37	TFB1.expon_r1_peak_37	TFB1.expon_r2_peak_40	2.1274	2.27685
gi|15896971|ref|NC_002754.1|	57622	57623	TFB1.expon.peak38	TFB1.expon_r1_peak_39	TFB1.expon_r2_peak_42	4.27508	4.29348
gi|15896971|ref|NC_002754.1|	59837	59838	TFB1.expon.peak39	TFB1.expon_r1_peak_40	TFB1.expon_r2_peak_43	10.75782	12.13592
gi|15896971|ref|NC_002754.1|	62721	62722	TFB1.expon.peak40	TFB1.expon_r1_peak_41	TFB1.expon_r2_peak_45	3.24264	2.96095
gi|15896971|ref|NC_002754.1|	63986	63987	TFB1.expon.peak41	TFB1.expon_r1_peak_42	TFB1.expon_r2_peak_46	2.41684	2.18426
gi|15896971|ref|NC_002754.1|	67806	67807	TFB1.expon.peak42	TFB1.expon_r1_peak_44	TFB1.expon_r2_peak_48	7.30591	6.67526
gi|15896971|ref|NC_002754.1|	70613	70614	TFB1.expon.peak43	TFB1.expon_r1_peak_45	TFB1.expon_r2_peak_50	3.9415	4.2328
gi|15896971|ref|NC_002754.1|	72020	72021	TFB1.expon.peak44	TFB1.expon_r1_peak_46	TFB1.expon_r2_peak_51	8.31545	8.75034
gi|15896971|ref|NC_002754.1|	72611	72612	TFB1.expon.peak45	TFB1.expon_r1_peak_47a	TFB1.expon_r2_peak_52a	2.25124	2.35917
gi|15896971|ref|NC_002754.1|	72863	72864	TFB1.expon.peak46	TFB1.expon_r1_peak_47b	TFB1.expon_r2_peak_52b	5.13013	4.76272
gi|15896971|ref|NC_002754.1|	74108	74109	TFB1.expon.peak47	TFB1.expon_r1_peak_48	TFB1.expon_r2_peak_53	9.33676	9.63539
gi|15896971|ref|NC_002754.1|	77305	77306	TFB1.expon.peak48	TFB1.expon_r1_peak_49	TFB1.expon_r2_peak_55	1.76637	1.94529
gi|15896971|ref|NC_002754.1|	78054	78055	TFB1.expon.peak49	TFB1.expon_r1_peak_50	TFB1.expon_r2_peak_56	27.39172	27.06459
gi|15896971|ref|NC_002754.1|	79094	79095	TFB1.expon.peak50	TFB1.expon_r1_peak_51a	TFB1.expon_r2_peak_57a	3.37138	3.29057
gi|15896971|ref|NC_002754.1|	79406	79407	TFB1.expon.peak51	TFB1.expon_r1_peak_51b	TFB1.expon_r2_peak_57b	5.40862	5.62891
gi|15896971|ref|NC_002754.1|	79684	79685	TFB1.expon.peak52	TFB1.expon_r1_peak_51c	TFB1.expon_r2_peak_57c	2.56532	3.06246
gi|15896971|ref|NC_002754.1|	80421	80422	TFB1.expon.peak53	TFB1.expon_r1_peak_52	TFB1.expon_r2_peak_58	4.37041	4.1647
gi|15896971|ref|NC_002754.1|	80853	80854	TFB1.expon.peak54	TFB1.expon_r1_peak_53	TFB1.expon_r2_peak_59	5.64138	5.9124
gi|15896971|ref|NC_002754.1|	82933	82934	TFB1.expon.peak55	TFB1.expon_r1_peak_55	TFB1.expon_r2_peak_61	4.85043	5.77029
gi|15896971|ref|NC_002754.1|	84049	84050	TFB1.expon.peak56	TFB1.expon_r1_peak_56	TFB1.expon_r2_peak_62	2.35447	2.80192
gi|15896971|ref|NC_002754.1|	85337	85338	TFB1.expon.peak57	TFB1.expon_r1_peak_57	TFB1.expon_r2_peak_63	2.13707	2.38356
gi|15896971|ref|NC_002754.1|	85746	85747	TFB1.expon.peak58	TFB1.expon_r1_peak_58	TFB1.expon_r2_peak_64	4.4027	4.44832
gi|15896971|ref|NC_002754.1|	87468	87469	TFB1.expon.peak59	TFB1.expon_r1_peak_59	TFB1.expon_r2_peak_65	3.25783	3.03746
gi|15896971|ref|NC_002754.1|	87822	87823	TFB1.expon.peak60	TFB1.expon_r1_peak_60	TFB1.expon_r2_peak_66	2.6404	3.20816
gi|15896971|ref|NC_002754.1|	88160	88161	TFB1.expon.peak61	TFB1.expon_r1_peak_61	TFB1.expon_r2_peak_67	3.06586	3.843
gi|15896971|ref|NC_002754.1|	89422	89423	TFB1.expon.peak62	TFB1.expon_r1_peak_63	TFB1.expon_r2_peak_69	2.48886	2.68251
gi|15896971|ref|NC_002754.1|	92234	92235	TFB1.expon.peak63	TFB1.expon_r1_peak_65a	TFB1.expon_r2_peak_71a	4.52949	5.18155
gi|15896971|ref|NC_002754.1|	92504	92505	TFB1.expon.peak64	TFB1.expon_r1_peak_65b	TFB1.expon_r2_peak_71b	2.04288	2.144
gi|15896971|ref|NC_002754.1|	93195	93196	TFB1.expon.peak65	TFB1.expon_r1_peak_66	TFB1.expon_r2_peak_72a	4.77355	5.79347
gi|15896971|ref|NC_002754.1|	93781	93782	TFB1.expon.peak66	TFB1.expon_r1_peak_67	TFB1.expon_r2_peak_72c	2.86335	2.69251
gi|15896971|ref|NC_002754.1|	97753	97754	TFB1.expon.peak67	TFB1.expon_r1_peak_69	TFB1.expon_r2_peak_75	3.24912	3.76138
gi|15896971|ref|NC_002754.1|	98234	98235	TFB1.expon.peak68	TFB1.expon_r1_peak_70	TFB1.expon_r2_peak_76	2.24614	2.19151
gi|15896971|ref|NC_002754.1|	101629	101630	TFB1.expon.peak69	TFB1.expon_r1_peak_71	TFB1.expon_r2_peak_77	1.97548	2.02684
gi|15896971|ref|NC_002754.1|	103352	103353	TFB1.expon.peak70	TFB1.expon_r1_peak_72b	TFB1.expon_r2_peak_79b	2.99066	3.50005
gi|15896971|ref|NC_002754.1|	104166	104167	TFB1.expon.peak71	TFB1.expon_r1_peak_73	TFB1.expon_r2_peak_80a	3.36529	3.48999
gi|15896971|ref|NC_002754.1|	104905	104906	TFB1.expon.peak72	TFB1.expon_r1_peak_74a	TFB1.expon_r2_peak_81b	2.91865	2.77862
gi|15896971|ref|NC_002754.1|	105209	105210	TFB1.expon.peak73	TFB1.expon_r1_peak_74b	TFB1.expon_r2_peak_82	5.25935	4.46635
gi|15896971|ref|NC_002754.1|	106625	106626	TFB1.expon.peak74	TFB1.expon_r1_peak_75	TFB1.expon_r2_peak_83	2.65169	2.57569
gi|15896971|ref|NC_002754.1|	107735	107736	TFB1.expon.peak75	TFB1.expon_r1_peak_76	TFB1.expon_r2_peak_84	18.45678	18.14655
gi|15896971|ref|NC_002754.1|	108159	108160	TFB1.expon.peak76	TFB1.expon_r1_peak_77	TFB1.expon_r2_peak_85	2.30796	2.54536
gi|15896971|ref|NC_002754.1|	110861	110862	TFB1.expon.peak77	TFB1.expon_r1_peak_80	TFB1.expon_r2_peak_89	6.2065	5.82683
gi|15896971|ref|NC_002754.1|	111349	111350	TFB1.expon.peak78	TFB1.expon_r1_peak_81	TFB1.expon_r2_peak_90	3.35768	3.03667
gi|15896971|ref|NC_002754.1|	114640	114641	TFB1.expon.peak79	TFB1.expon_r1_peak_82	TFB1.expon_r2_peak_91a	8.71913	8.38554
gi|15896971|ref|NC_002754.1|	119846	119847	TFB1.expon.peak80	TFB1.expon_r1_peak_83	TFB1.expon_r2_peak_92	4.80769	5.45511
gi|15896971|ref|NC_002754.1|	120186	120187	TFB1.expon.peak81	TFB1.expon_r1_peak_84	TFB1.expon_r2_peak_93	6.91052	6.4303
gi|15896971|ref|NC_002754.1|	122653	122654	TFB1.expon.peak82	TFB1.expon_r1_peak_85	TFB1.expon_r2_peak_94	16.80433	16.98013
gi|15896971|ref|NC_002754.1|	124041	124042	TFB1.expon.peak83	TFB1.expon_r1_peak_86a	TFB1.expon_r2_peak_95a	1.89144	2.05804
gi|15896971|ref|NC_002754.1|	124250	124251	TFB1.expon.peak84	TFB1.expon_r1_peak_86b	TFB1.expon_r2_peak_95b	3.9846	4.63661
gi|15896971|ref|NC_002754.1|	125242	125243	TFB1.expon.peak85	TFB1.expon_r1_peak_87	TFB1.expon_r2_peak_96	2.70908	2.67247
gi|15896971|ref|NC_002754.1|	126596	126597	TFB1.expon.peak86	TFB1.expon_r1_peak_88	TFB1.expon_r2_peak_97	3.83768	3.6994
gi|15896971|ref|NC_002754.1|	127127	127128	TFB1.expon.peak87	TFB1.expon_r1_peak_89	TFB1.expon_r2_peak_98	4.41111	3.88166
gi|15896971|ref|NC_002754.1|	128659	128660	TFB1.expon.peak88	TFB1.expon_r1_peak_90	TFB1.expon_r2_peak_99	3.29135	3.18427
gi|15896971|ref|NC_002754.1|	133430	133431	TFB1.expon.peak89	TFB1.expon_r1_peak_93a	TFB1.expon_r2_peak_101	2.81073	2.8625
gi|15896971|ref|NC_002754.1|	135612	135613	TFB1.expon.peak90	TFB1.expon_r1_peak_95	TFB1.expon_r2_peak_103	2.74062	2.40182
gi|15896971|ref|NC_002754.1|	136405	136406	TFB1.expon.peak91	TFB1.expon_r1_peak_96	TFB1.expon_r2_peak_104	7.6463	7.91386
gi|15896971|ref|NC_002754.1|	138462	138463	TFB1.expon.peak92	TFB1.expon_r1_peak_98	TFB1.expon_r2_peak_106	13.48899	12.31324
gi|15896971|ref|NC_002754.1|	142613	142614	TFB1.expon.peak93	TFB1.expon_r1_peak_99b	TFB1.expon_r2_peak_107b	3.23874	2.82572
gi|15896971|ref|NC_002754.1|	142996	142997	TFB1.expon.peak94	TFB1.expon_r1_peak_100	TFB1.expon_r2_peak_108	2.36312	2.30261
gi|15896971|ref|NC_002754.1|	143389	143390	TFB1.expon.peak95	TFB1.expon_r1_peak_101	TFB1.expon_r2_peak_109	4.42777	3.64558
gi|15896971|ref|NC_002754.1|	144086	144087	TFB1.expon.peak96	TFB1.expon_r1_peak_102	TFB1.expon_r2_peak_110	2.30775	2.8473
gi|15896971|ref|NC_002754.1|	146776	146777	TFB1.expon.peak97	TFB1.expon_r1_peak_103	TFB1.expon_r2_peak_112	6.29948	6.00042
gi|15896971|ref|NC_002754.1|	147262	147263	TFB1.expon.peak98	TFB1.expon_r1_peak_104	TFB1.expon_r2_peak_113	6.3142	6.42963
gi|15896971|ref|NC_002754.1|	150947	150948	TFB1.expon.peak99	TFB1.expon_r1_peak_105	TFB1.expon_r2_peak_114	15.31317	15.73395
gi|15896971|ref|NC_002754.1|	153965	153966	TFB1.expon.peak100	TFB1.expon_r1_peak_107	TFB1.expon_r2_peak_116	3.35317	3.1784
gi|15896971|ref|NC_002754.1|	154686	154687	TFB1.expon.peak101	TFB1.expon_r1_peak_108	TFB1.expon_r2_peak_117	2.12847	2.06038
gi|15896971|ref|NC_002754.1|	156630	156631	TFB1.expon.peak102	TFB1.expon_r1_peak_110	TFB1.expon_r2_peak_119	4.11347	4.11427
gi|15896971|ref|NC_002754.1|	160656	160657	TFB1.expon.peak103	TFB1.expon_r1_peak_111	TFB1.expon_r2_peak_120a	5.09304	5.26879
gi|15896971|ref|NC_002754.1|	163465	163466	TFB1.expon.peak104	TFB1.expon_r1_peak_112	TFB1.expon_r2_peak_121	2.19762	2.10686
gi|15896971|ref|NC_002754.1|	163944	163945	TFB1.expon.peak105	TFB1.expon_r1_peak_113	TFB1.expon_r2_peak_122	5.96799	4.92803
gi|15896971|ref|NC_002754.1|	164299	164300	TFB1.expon.peak106	TFB1.expon_r1_peak_114	TFB1.expon_r2_peak_123	1.93693	2.01789
gi|15896971|ref|NC_002754.1|	165638	165639	TFB1.expon.peak107	TFB1.expon_r1_peak_115	TFB1.expon_r2_peak_124	2.71858	3.86492
gi|15896971|ref|NC_002754.1|	166323	166324	TFB1.expon.peak108	TFB1.expon_r1_peak_116	TFB1.expon_r2_peak_125	2.59403	2.8977
gi|15896971|ref|NC_002754.1|	168332	168333	TFB1.expon.peak109	TFB1.expon_r1_peak_119	TFB1.expon_r2_peak_127	1.91923	1.81135
gi|15896971|ref|NC_002754.1|	169199	169200	TFB1.expon.peak110	TFB1.expon_r1_peak_120	TFB1.expon_r2_peak_128	2.09272	2.16794
gi|15896971|ref|NC_002754.1|	169631	169632	TFB1.expon.peak111	TFB1.expon_r1_peak_121	TFB1.expon_r2_peak_129	3.81192	3.38174
gi|15896971|ref|NC_002754.1|	172651	172652	TFB1.expon.peak112	TFB1.expon_r1_peak_122	TFB1.expon_r2_peak_130	2.2538	2.73446
gi|15896971|ref|NC_002754.1|	173672	173673	TFB1.expon.peak113	TFB1.expon_r1_peak_123a	TFB1.expon_r2_peak_131a	3.44926	3.76303
gi|15896971|ref|NC_002754.1|	173958	173959	TFB1.expon.peak114	TFB1.expon_r1_peak_123b	TFB1.expon_r2_peak_131b	11.94173	13.38456
gi|15896971|ref|NC_002754.1|	174224	174225	TFB1.expon.peak115	TFB1.expon_r1_peak_123c	TFB1.expon_r2_peak_131c	8.09551	6.22794
gi|15896971|ref|NC_002754.1|	175939	175940	TFB1.expon.peak116	TFB1.expon_r1_peak_124	TFB1.expon_r2_peak_132	9.21606	9.32684
gi|15896971|ref|NC_002754.1|	176672	176673	TFB1.expon.peak117	TFB1.expon_r1_peak_125	TFB1.expon_r2_peak_133	4.89388	4.45731
gi|15896971|ref|NC_002754.1|	177177	177178	TFB1.expon.peak118	TFB1.expon_r1_peak_126	TFB1.expon_r2_peak_134	3.12069	2.84
gi|15896971|ref|NC_002754.1|	177612	177613	TFB1.expon.peak119	TFB1.expon_r1_peak_127	TFB1.expon_r2_peak_135	3.10032	3.38358
gi|15896971|ref|NC_002754.1|	179552	179553	TFB1.expon.peak120	TFB1.expon_r1_peak_128a	TFB1.expon_r2_peak_136a	3.93473	3.8495
gi|15896971|ref|NC_002754.1|	181289	181290	TFB1.expon.peak121	TFB1.expon_r1_peak_129a	TFB1.expon_r2_peak_139a	3.91628	3.95166
gi|15896971|ref|NC_002754.1|	181620	181621	TFB1.expon.peak122	TFB1.expon_r1_peak_129b	TFB1.expon_r2_peak_139b	2.98568	3.63457
gi|15896971|ref|NC_002754.1|	182150	182151	TFB1.expon.peak123	TFB1.expon_r1_peak_130	TFB1.expon_r2_peak_140	5.43556	6.41188
gi|15896971|ref|NC_002754.1|	184682	184683	TFB1.expon.peak124	TFB1.expon_r1_peak_133a	TFB1.expon_r2_peak_142a	9.51353	9.73313
gi|15896971|ref|NC_002754.1|	184884	184885	TFB1.expon.peak125	TFB1.expon_r1_peak_133b	TFB1.expon_r2_peak_142b	8.98812	7.71664
gi|15896971|ref|NC_002754.1|	186904	186905	TFB1.expon.peak126	TFB1.expon_r1_peak_134	TFB1.expon_r2_peak_143	8.49583	8.46223
gi|15896971|ref|NC_002754.1|	187533	187534	TFB1.expon.peak127	TFB1.expon_r1_peak_135	TFB1.expon_r2_peak_144a	7.77458	8.65803
gi|15896971|ref|NC_002754.1|	187921	187922	TFB1.expon.peak128	TFB1.expon_r1_peak_136	TFB1.expon_r2_peak_144b	2.91878	3.43337
gi|15896971|ref|NC_002754.1|	188612	188613	TFB1.expon.peak129	TFB1.expon_r1_peak_137	TFB1.expon_r2_peak_145	3.09895	3.19362
gi|15896971|ref|NC_002754.1|	189409	189410	TFB1.expon.peak130	TFB1.expon_r1_peak_138	TFB1.expon_r2_peak_146	6.3303	6.9337
gi|15896971|ref|NC_002754.1|	189916	189917	TFB1.expon.peak131	TFB1.expon_r1_peak_139	TFB1.expon_r2_peak_147	3.01824	3.10033
gi|15896971|ref|NC_002754.1|	193300	193301	TFB1.expon.peak132	TFB1.expon_r1_peak_140	TFB1.expon_r2_peak_149	2.94572	2.80944
gi|15896971|ref|NC_002754.1|	196831	196832	TFB1.expon.peak133	TFB1.expon_r1_peak_141	TFB1.expon_r2_peak_150	2.85942	3.37897
gi|15896971|ref|NC_002754.1|	199343	199344	TFB1.expon.peak134	TFB1.expon_r1_peak_142a	TFB1.expon_r2_peak_151a	2.15563	2.29051
gi|15896971|ref|NC_002754.1|	199603	199604	TFB1.expon.peak135	TFB1.expon_r1_peak_142b	TFB1.expon_r2_peak_151b	4.2199	4.41816
gi|15896971|ref|NC_002754.1|	201573	201574	TFB1.expon.peak136	TFB1.expon_r1_peak_143	TFB1.expon_r2_peak_152	2.97645	3.40932
gi|15896971|ref|NC_002754.1|	202689	202690	TFB1.expon.peak137	TFB1.expon_r1_peak_144a	TFB1.expon_r2_peak_153a	5.96588	6.09452
gi|15896971|ref|NC_002754.1|	202899	202900	TFB1.expon.peak138	TFB1.expon_r1_peak_144b	TFB1.expon_r2_peak_153b	2.62496	2.789
gi|15896971|ref|NC_002754.1|	205034	205035	TFB1.expon.peak139	TFB1.expon_r1_peak_145a	TFB1.expon_r2_peak_154a	1.67064	1.66349
gi|15896971|ref|NC_002754.1|	205257	205258	TFB1.expon.peak140	TFB1.expon_r1_peak_145b	TFB1.expon_r2_peak_154b	5.69734	6.77733
gi|15896971|ref|NC_002754.1|	205888	205889	TFB1.expon.peak141	TFB1.expon_r1_peak_146	TFB1.expon_r2_peak_155	2.27809	2.26779
gi|15896971|ref|NC_002754.1|	206243	206244	TFB1.expon.peak142	TFB1.expon_r1_peak_147a	TFB1.expon_r2_peak_156a	3.05317	2.69055
gi|15896971|ref|NC_002754.1|	207920	207921	TFB1.expon.peak143	TFB1.expon_r1_peak_148	TFB1.expon_r2_peak_157a	3.35774	3.45669
gi|15896971|ref|NC_002754.1|	210096	210097	TFB1.expon.peak144	TFB1.expon_r1_peak_149a	TFB1.expon_r2_peak_158a	6.43879	7.23843
gi|15896971|ref|NC_002754.1|	214526	214527	TFB1.expon.peak145	TFB1.expon_r1_peak_150b	TFB1.expon_r2_peak_159b	2.10156	2.25215
gi|15896971|ref|NC_002754.1|	215613	215614	TFB1.expon.peak146	TFB1.expon_r1_peak_151b	TFB1.expon_r2_peak_160b	2.75663	2.74081
gi|15896971|ref|NC_002754.1|	215812	215813	TFB1.expon.peak147	TFB1.expon_r1_peak_151c	TFB1.expon_r2_peak_160c	3.04382	3.46337
gi|15896971|ref|NC_002754.1|	216093	216094	TFB1.expon.peak148	TFB1.expon_r1_peak_151d	TFB1.expon_r2_peak_160d	28.15663	29.48134
gi|15896971|ref|NC_002754.1|	217137	217138	TFB1.expon.peak149	TFB1.expon_r1_peak_152	TFB1.expon_r2_peak_161	9.49341	10.22167
gi|15896971|ref|NC_002754.1|	218983	218984	TFB1.expon.peak150	TFB1.expon_r1_peak_153	TFB1.expon_r2_peak_162	1.74851	1.74771
gi|15896971|ref|NC_002754.1|	219408	219409	TFB1.expon.peak151	TFB1.expon_r1_peak_154	TFB1.expon_r2_peak_163	4.1791	3.84235
gi|15896971|ref|NC_002754.1|	219924	219925	TFB1.expon.peak152	TFB1.expon_r1_peak_155	TFB1.expon_r2_peak_164a	1.59041	1.67427
gi|15896971|ref|NC_002754.1|	220456	220457	TFB1.expon.peak153	TFB1.expon_r1_peak_156	TFB1.expon_r2_peak_164c	8.28429	9.78655
gi|15896971|ref|NC_002754.1|	222728	222729	TFB1.expon.peak154	TFB1.expon_r1_peak_157b	TFB1.expon_r2_peak_165b	9.82971	9.12221
gi|15896971|ref|NC_002754.1|	223936	223937	TFB1.expon.peak155	TFB1.expon_r1_peak_158	TFB1.expon_r2_peak_166	2.43947	2.73163
gi|15896971|ref|NC_002754.1|	224373	224374	TFB1.expon.peak156	TFB1.expon_r1_peak_159	TFB1.expon_r2_peak_167a	7.19753	7.93557
gi|15896971|ref|NC_002754.1|	225036	225037	TFB1.expon.peak157	TFB1.expon_r1_peak_160a	TFB1.expon_r2_peak_168a	2.54001	2.44978
gi|15896971|ref|NC_002754.1|	225228	225229	TFB1.expon.peak158	TFB1.expon_r1_peak_160b	TFB1.expon_r2_peak_168b	2.68022	3.1351
gi|15896971|ref|NC_002754.1|	225800	225801	TFB1.expon.peak159	TFB1.expon_r1_peak_161a	TFB1.expon_r2_peak_169a	2.08451	2.19926
gi|15896971|ref|NC_002754.1|	225944	225945	TFB1.expon.peak160	TFB1.expon_r1_peak_161b	TFB1.expon_r2_peak_169b	2.49764	2.77498
gi|15896971|ref|NC_002754.1|	226406	226407	TFB1.expon.peak161	TFB1.expon_r1_peak_162	TFB1.expon_r2_peak_170	3.83641	4.32493
gi|15896971|ref|NC_002754.1|	226779	226780	TFB1.expon.peak162	TFB1.expon_r1_peak_163	TFB1.expon_r2_peak_171	5.23889	5.24746
gi|15896971|ref|NC_002754.1|	227559	227560	TFB1.expon.peak163	TFB1.expon_r1_peak_164	TFB1.expon_r2_peak_172	7.66685	7.54546
gi|15896971|ref|NC_002754.1|	229104	229105	TFB1.expon.peak164	TFB1.expon_r1_peak_165	TFB1.expon_r2_peak_173	2.00373	2.10284
gi|15896971|ref|NC_002754.1|	230038	230039	TFB1.expon.peak165	TFB1.expon_r1_peak_166	TFB1.expon_r2_peak_174	1.44626	1.52661
gi|15896971|ref|NC_002754.1|	230568	230569	TFB1.expon.peak166	TFB1.expon_r1_peak_167	TFB1.expon_r2_peak_175	3.7985	3.4786
gi|15896971|ref|NC_002754.1|	231284	231285	TFB1.expon.peak167	TFB1.expon_r1_peak_168	TFB1.expon_r2_peak_176	4.3478	3.93524
gi|15896971|ref|NC_002754.1|	231620	231621	TFB1.expon.peak168	TFB1.expon_r1_peak_169	TFB1.expon_r2_peak_177	3.02896	3.10946
gi|15896971|ref|NC_002754.1|	232682	232683	TFB1.expon.peak169	TFB1.expon_r1_peak_170a	TFB1.expon_r2_peak_178	2.87666	2.67385
gi|15896971|ref|NC_002754.1|	233410	233411	TFB1.expon.peak170	TFB1.expon_r1_peak_171	TFB1.expon_r2_peak_179	2.74066	2.60187
gi|15896971|ref|NC_002754.1|	234586	234587	TFB1.expon.peak171	TFB1.expon_r1_peak_172	TFB1.expon_r2_peak_181	3.00369	3.26051
gi|15896971|ref|NC_002754.1|	235746	235747	TFB1.expon.peak172	TFB1.expon_r1_peak_173a	TFB1.expon_r2_peak_182a	15.34167	14.05276
gi|15896971|ref|NC_002754.1|	236045	236046	TFB1.expon.peak173	TFB1.expon_r1_peak_173b	TFB1.expon_r2_peak_182b	3.07377	2.97018
gi|15896971|ref|NC_002754.1|	236444	236445	TFB1.expon.peak174	TFB1.expon_r1_peak_173d	TFB1.expon_r2_peak_182c	2.62493	2.3806
