GeneBeg	GeneEnd	Strand	OpensOperon	operon_ID	Locus	Protein.accession	primTSS
346650	348368	+	1	284	SSO0395	NP_341934	NA
348369	348683	+	1	285	SSO0396	NP_341935	348381
348688	349437	+	0	285	SSO0397	NP_341936	NA
349404	350543	-	0	286	SSO0398	NP_341937	NA
350522	351217	-	0	286	SSO0399	NP_341938	NA
351214	351678	-	0	286	SSO0400	NP_341939	NA
351659	352126	-	0	286	SSO0401	NP_341940	NA
352123	352782	-	1	286	SSO0402	NP_341941	352785
352910	353668	+	1	287	SSO0403	NP_341942	NA
353640	354944	-	1	288	SSO0404	NP_341943	NA
355009	355788	+	1	289	SSO0405	NP_341944	355047
355785	356777	+	1	290	SSO0406	NP_341945	355790
356770	357768	+	0	290	SSO0407	NP_341946	NA
357792	358250	+	1	291	SSO0408	NP_341947	NA
358247	358633	-	1	292	SSO0410	NP_341948	358643
358711	359355	+	1	293	SSO0411	NP_341949	358693
359364	360611	+	0	293	SSO0412	NP_341950	NA
360575	361012	+	0	293	SSO0414	NP_341951	NA
361016	361558	+	1	294	SSO0415	NP_341952	361016
361565	361765	+	0	294	SSO5798	NP_341953	NA
361738	362277	+	0	294	SSO0416	NP_341954	NA
362362	363606	-	0	295	SSO0417	NP_341955	NA
363603	365912	-	1	295	SSO0421	NP_341956	365843
365906	369634	+	1	296	SSO0420	NP_341957	365892
369637	370518	+	1	297	SSO0422	NP_341958	NA
370522	370854	-	1	298	SSO0425	NP_341959	370866
370903	371634	+	1	299	SSO0426	NP_341960	NA
371678	371830	+	1	300	SSO5826	NP_341961	371670
371931	372701	+	1	301	SSO0427	NP_341962	NA
372723	373058	+	1	302	SSO0428	NP_341963	372725
373055	374035	+	0	302	SSO0429	NP_341964	NA
374018	374344	-	1	303	NA	NA	374344
374318	375382	+	1	304	SSO0430	NP_341965	374387
375411	375989	-	0	305	SSO0432	NP_341966	NA
375949	376620	-	0	305	SSO0433	NP_341967	NA
376608	377348	-	1	305	SSO0434	NP_341968	NA
377589	377816	-	1	306	SSO5844	NP_341969	377816
377758	378120	-	1	307	SSO0435	NP_341970	378128
378187	378990	-	1	308	SSO0436	NP_341971	378990
379080	379286	+	1	309	NA	NA	379080
379208	379837	+	0	309	SSO0437	NP_341972	NA
380199	380588	-	1	310	SSO0438	NP_341973	380619
380629	381177	-	0	311	SSO0439	NP_341974	NA
381178	381825	-	1	311	SSO0440	NP_341975	381828
381851	382255	-	0	312	SSO0441	NP_341976	NA
382252	382617	-	1	312	SSO0442	NP_341977	382612
382601	384325	-	1	313	SSO0444	NP_341978	384325
384378	385271	+	1	314	SSO0445	NP_341979	384378
385258	385404	-	1	315	SSO5865	NP_341980	385404
385500	385661	+	1	316	SSO5866	NP_341981	385496
385794	386723	-	1	317	SSO0446	NP_341982	386730
386883	386955	+	1	318	SSOt23	N/A	NA
387197	387272	+	1	319	SSOt24	N/A	NA
387452	388036	+	1	320	SSO0447	NP_341983	387451
388033	389013	+	0	320	SSO0448	NP_341984	NA
389010	389447	-	0	321	SSO0449	NP_341985	NA
389485	390195	-	1	321	SSO0450	NP_341986	390197
390199	390468	-	1	322	NA	NA	390468
390329	391183	+	1	323	SSO0451	NP_341987	390553
391248	392390	+	1	324	SSO0452	NP_341988.2	391247
392359	392811	-	1	325	SSO0454	NP_341989	392811
392792	393589	+	1	326	SSO0453	NP_341990	NA
393598	394158	+	1	327	SSO0455	NP_341991	NA
394148	394873	+	0	327	SSO0456	NP_341992	NA
394844	395194	-	1	328	SSO0458	NP_341993	395206
395505	396395	-	1	329	SSO0460	NP_341994	396396
396396	396959	-	1	330	SSO0461	NP_341995	NA
397123	397767	-	0	331	SSO0463	NP_341996	NA
397707	398309	-	1	331	SSO0464	NP_341997	NA
398312	398935	-	1	2235	SSO0465	NP_341998	398935
399141	401654	+	1	332	SSO0466	NP_341999	NA
401626	402570	-	1	333	SSO0468	NP_342000	NA
402506	403264	+	1	334	SSO0467	NP_342001	402506
403245	404993	+	0	334	SSO0469	NP_342002	NA
405273	406178	-	1	335	SSO0470	NP_342003	NA
406229	406510	+	1	336	SSO5909	NP_342004	NA
406507	407622	-	1	337	SSO0472	NP_342005	NA
407678	409012	+	1	338	SSO0473	NP_342006	NA
408999	410456	+	0	338	SSO0475	NP_342007	NA
410443	412068	-	1	339	SSO0477	NP_342008	NA
412196	413338	+	1	340	SSO0478	NP_342009	NA
413371	413919	+	0	340	SSO0479	NP_342010	NA
413903	415324	-	1	341	SSO0480	NP_342011	415325
415401	416033	+	1	342	SSO0481	NP_342012	NA
416056	416394	+	1	343	SSO0482	NP_342013	416098
416431	416748	+	1	344	SSO0483	NP_342014	416485
416732	417616	+	0	344	SSO0484	NP_342015	NA
417750	418706	+	1	345	SSO0485	NP_342016	NA
418707	419693	+	0	345	SSO0486	NP_342017	NA
419671	420330	+	0	345	SSO0487	NP_342018	NA
420471	421244	-	1	346	SSO0488	NP_342019	NA
421390	422607	+	1	347	SSO0489	NP_342020	NA
422610	423494	+	0	347	SSO0490	NP_342021	NA
423491	424309	+	0	347	SSO0491	NP_342022	NA
424521	425558	+	1	348	SSO0493	NP_342023	NA
425555	426217	+	0	348	SSO0494	NP_342024	NA
426293	427126	+	1	349	SSO0495	NP_342025	426221
427181	429337	+	1	350	SSO0496	NP_342026	NA
429334	430944	+	0	350	SSO0497	NP_342027	NA
430925	432187	-	0	351	SSO0499	NP_342028	NA
432244	432486	+	1	352	NA	NA	432242
432474	433139	+	0	352	SSO0500	NP_342029	NA
433155	433844	-	1	353	SSO0501	NP_342030	433846
433904	434368	+	1	354	SSO0502	NP_342031	NA
434451	434651	+	1	355	NA	NA	434451
434783	435706	+	1	356	SSO0503	NP_342032	NA
435745	438549	+	1	357	SSO0504	NP_342033	NA
438552	439487	+	0	357	SSO0505	NP_342034	NA
439487	439639	-	1	358	NA	NA	439639
439598	439738	+	1	359	SSO5983	NP_342035	NA
439809	440795	+	1	360	SSO0506	NP_342036	439806
440776	441159	+	1	361	SSO0507	NP_342037	440827
442549	442869	-	1	362	SSO0508	NP_342038	NA
443033	443440	+	1	363	SSO0509	NP_342039	NA
443316	443687	-	0	364	SSO0510	NP_342040	NA
443596	444333	-	1	364	SSO0512	NP_342041	NA
444326	445135	+	1	365	SSO0511	NP_342042	NA
445284	445697	-	1	366	SSO0514	NP_342043	NA
445862	446953	+	1	367	SSO0515	NP_342044	NA
447076	447333	-	0	368	SSO6008	NP_342045	NA
447338	447715	-	1	368	SSO0518	NP_342046	447727
447894	448625	-	0	369	SSO0519	NP_342047	NA
448668	448982	-	1	369	SSO0520	NP_342048	448983
449346	449660	-	1	370	SSO0521	NP_342049	449660
